Record_Number,LSN,Type,Type_ID,Length,Space_ID,Page_No,Table_ID,Group,Data_Preview,Data_Length
599,26782,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
600,26790,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
601,26799,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
602,26806,MLOG_2BYTES,2,7,0,0,0,16,offset=248 value=0x3070000,26
603,26882,MLOG_REC_INSERT_8027,9,1277,0,0,0,16,"space_id=6144 | page_no=0 | index_info=(n_fields=31636,instant_cols=true,n_instant_cols=33262,actual...",1277
604,27104,UNKNOWN_MLOG_7,7,219,0,0,0,16,offset=2307 len=214 hex=0094fbee811d001c5c0080bb09000000000503c20000011518ec08000000000000003f00c6fb...,452
605,27114,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
606,27117,MLOG_2BYTES,2,1,0,0,0,16,,1
607,27118,MLOG_1BYTE,1,1,0,0,0,16,,1
608,27119,MLOG_2BYTES,2,1,0,0,0,16,,1
609,27251,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80be09000000000503c200000115194f08000000000000005f00c6fbfe7e01010009000180088...,207
610,27259,MLOG_1BYTE,1,7,0,0,0,16,offset=6421 value=0x870,23
611,27277,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
612,27284,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
613,27292,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
614,27301,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
615,27370,UNKNOWN_MLOG_3,3,69,0,0,0,16,offset=184 badlen=0 hex=070314f9000094fbee811d001c5c0080c009000000000503c200000115199108000000000000...,152
616,27377,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
617,27384,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xd8031d01,25
618,27436,UNKNOWN_MLOG_7,7,49,0,0,0,16,offset=5379 len=44 hex=0094fbee811d001c5c0080c109000000000503c20000011519b208000000000000006200c6fbf...,111
619,27444,MLOG_1BYTE,1,7,0,0,0,16,offset=2176 value=0x7800680,27
620,27454,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
621,27463,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
622,27532,UNKNOWN_MLOG_3,3,69,0,0,0,16,offset=248 badlen=0 hex=07031569000094fbee811d001c5c0080c209000000000503c20000011519d308000000000000...,152
623,27539,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
624,27546,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0x18041d01,25
625,27618,UNKNOWN_MLOG_7,7,69,0,0,0,16,offset=5379 badlen=182 hex=0094fbee811d001c5c0080c309000000000503c20000011519f40800000000000000f900c...,155
626,27625,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
627,27632,MLOG_4BYTES,4,7,0,0,0,16,offset=56 value=0x3070000,25
628,27753,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80c409000000000503c2000001151a150800000000000000fa00c6fbfe7f01010009000180088...,207
629,27761,MLOG_1BYTE,1,7,0,0,0,16,offset=6677 value=0x836,23
630,27835,MLOG_COMP_LIST_END_COPY_CREATED_8027,45,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff0201020000011d047800...,158
631,27842,MLOG_1BYTE,1,7,0,0,0,16,offset=6677 value=0x857,23
632,27916,MLOG_COMP_PAGE_REORGANIZE_8027,46,69,0,0,0,16,offset=50688 badlen=65275 hex=7e010100090001800880068007800080088001800480017fff0201020000011d049800...,158
633,27923,MLOG_1BYTE,1,7,0,0,0,16,offset=6677 value=0x878,23
634,27941,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
635,27948,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
636,27956,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
637,27965,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
638,27972,MLOG_4BYTES,4,7,0,0,0,16,offset=184 value=0x3070000,26
639,28041,MLOG_LIST_START_DELETE_8027,16,69,0,0,0,16,offset=7 badlen=37888 hex=fbee811d001c5c0080c809000000000503c2000001151a990800000000000000e100c6fbfe...,154
640,28048,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xd8041d01,25
641,28123,UNKNOWN_MLOG_7,7,72,0,0,0,16,offset=4099 len=67 hex=0094fbee811d001c5c0080c909000000000503c2000001151aba0800000000000000e200c6fbf...,157
642,28132,MLOG_1BYTE,1,7,0,0,0,16,offset=1053 value=0xf8,22
643,28144,UNKNOWN_MLOG_7,7,12,0,0,0,16,offset=4099 badlen=129 hex=0094fbee811d00,41
644,28200,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
645,28207,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
646,28215,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
